field,value
input_file,/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/indirect_index.cpp
input_type,cpp
backend,cpu
experiments,[]
pipeline,"{'frontend': 'clang', 'compiler_steps': ['source -> clang frontend', 'clang -> llvm ir', 'llvm ir -> native code'], 'execution_backend': 'cpu', 'profiler': 'perf/papi'}"
commands,"['g++ -O3 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/indirect_index.cpp -o /tmp/csperf-gcc-vs-clang-cases/indirect_index', '/tmp/csperf-gcc-vs-clang-cases/indirect_index', 'perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses /tmp/csperf-gcc-vs-clang-cases/indirect_index', 'perf stat -x, -e cache-references,cache-misses /tmp/csperf-gcc-vs-clang-cases/indirect_index', 'perf stat -x, -e L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /tmp/csperf-gcc-vs-clang-cases/indirect_index']"
hardware,"{'platform': 'Linux-6.17.0-19-generic-x86_64-with-glibc2.39', 'python': '3.12.3', 'tools': {'lscpu': True, 'nvidia-smi': False, 'rocminfo': True}, 'cpu_model': 'AMD Ryzen 7 9700X 8-Core Processor'}"
metrics,"{'execution_time_ms': 16.5836, 'l1_cache_misses': 36482447, 'l2_cache_misses': 12279809, 'branch_mispredictions': 9435, 'instruction_count': 252414443, 'memory_bandwidth_mb_s': None, 'tile_size': None, 'opt_config': {}, 'execution_time_summary_ms': {'count': 5, 'min': 16.562, 'max': 16.623, 'mean': 16.5836, 'median': 16.579, 'stdev': 0.02333}, 'cpu_cycles': 92222016, 'ref_cycles': 65578556, 'frontend_stall_cycles': 47969320, 'branch_instructions': 37255657, 'cache_references': 78460403, 'cache_misses': 12707130, 'l1_icache_misses': 75808, 'dtlb_load_misses': 62683, 'itlb_load_misses': 272, 'amd_l2_ic_dc_miss_in_l2': 12279809}"
artifacts,"{'json': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/results/gcc-indirect_index.json', 'csv': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/results/gcc-indirect_index.csv'}"
execution,"{'binary': '/tmp/csperf-gcc-vs-clang-cases/indirect_index', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.5836, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner', 'warmup_runs': 1, 'repeat_runs': 5, 'timing_summary_ms': {'count': 5, 'min': 16.562, 'max': 16.623, 'mean': 16.5836, 'median': 16.579, 'stdev': 0.02333}, 'mode': 'executed', 'trial_results': [{'binary': '/tmp/csperf-gcc-vs-clang-cases/indirect_index', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.623, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/indirect_index', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.562, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/indirect_index', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.572, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/indirect_index', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.582, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/indirect_index', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.579, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}]}"
status,executed
timestamp_utc,2026-03-22T14:54:03.373495+00:00
