field,value
input_file,/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/small_sort.cpp
input_type,cpp
backend,cpu
experiments,[]
pipeline,"{'frontend': 'clang', 'compiler_steps': ['source -> clang frontend', 'clang -> llvm ir', 'llvm ir -> native code'], 'execution_backend': 'cpu', 'profiler': 'perf/papi'}"
commands,"['g++ -O3 -O3 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/small_sort.cpp -o /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'perf stat -x, -e cache-references,cache-misses /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'perf stat -x, -e L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort']"
hardware,"{'platform': 'Linux-6.17.0-19-generic-x86_64-with-glibc2.39', 'python': '3.12.3', 'detected_platform': 'linux', 'cpu_architecture': 'x86_64', 'cpu_vendor': 'amd', 'tools': {'lscpu': True, 'perf': True, 'powermetrics': False, 'nvidia-smi': False, 'rocminfo': True}, 'cpu_model': 'AMD Ryzen 7 9700X 8-Core Processor', 'collector': 'linux-perf', 'supported_metrics': ['amd_l2_ic_dc_miss_in_l2', 'cache_misses', 'cache_references', 'cpu_cycles', 'dtlb_load_misses', 'execution_time_ms', 'frontend_stall_cycles', 'instruction_count', 'ipc', 'itlb_load_misses', 'l1_icache_misses', 'ref_cycles'], 'collector_available': True}"
metrics,"{'execution_time_ms': 76.728, 'cpu_cycles': 418684301, 'instruction_count': 907309711, 'ipc': 2.16705, 'ref_cycles': 288510606, 'frontend_stall_cycles': 128976382, 'branch_instructions': 160318517, 'branch_mispredictions': 9026714, 'cache_references': 6664591, 'cache_misses': 116156, 'l1_cache_misses': 5247358, 'l1_icache_misses': 32638, 'l2_cache_misses': 109142, 'dtlb_load_misses': 3713, 'itlb_load_misses': 269, 'amd_l2_ic_dc_miss_in_l2': 109142, 'apple_power_mw': None, 'apple_cpu_freq_mhz': None, 'memory_bandwidth_mb_s': None, 'tile_size': None, 'opt_config': {}, 'execution_time_summary_ms': {'count': 5, 'min': 75.01, 'max': 78.522, 'mean': 76.728, 'median': 76.892, 'stdev': 1.304896}}"
artifacts,"{'json': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/small_sort-gcc.json', 'csv': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/small_sort-gcc.csv'}"
execution,"{'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'cpu_affinity': '', 'stdout': '201324192', 'stderr': '', 'returncode': 0, 'wall_time_ms': 76.728, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner', 'warmup_runs': 1, 'repeat_runs': 5, 'timing_summary_ms': {'count': 5, 'min': 75.01, 'max': 78.522, 'mean': 76.728, 'median': 76.892, 'stdev': 1.304896}, 'mode': 'executed', 'compiler': 'g++', 'trial_results': [{'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'cpu_affinity': '', 'stdout': '201324192', 'stderr': '', 'returncode': 0, 'wall_time_ms': 75.01, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'cpu_affinity': '', 'stdout': '201324192', 'stderr': '', 'returncode': 0, 'wall_time_ms': 76.892, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'cpu_affinity': '', 'stdout': '201324192', 'stderr': '', 'returncode': 0, 'wall_time_ms': 76.067, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'cpu_affinity': '', 'stdout': '201324192', 'stderr': '', 'returncode': 0, 'wall_time_ms': 77.149, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/small_sort/gcc/small_sort', 'cpu_affinity': '', 'stdout': '201324192', 'stderr': '', 'returncode': 0, 'wall_time_ms': 78.522, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}]}"
status,executed
timestamp_utc,2026-03-23T03:31:04.332868+00:00
