backend,baseline_input,candidate_input,kind,metric,unit,baseline_name,baseline_value,candidate_name,candidate_value,diff,diff_percent,direction,change,which_is_better
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,amd_l2_ic_dc_miss_in_l2,misses,clang-O1,266766.0,clang-O2,268579.0,1813.0,0.679622,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,branch_instructions,branches,clang-O1,403116721.0,clang-O2,406703654.0,3586933.0,0.8898,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,branch_mispredictions,misses,clang-O1,628398.0,clang-O2,639884.0,11486.0,1.827822,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,branch_miss_rate_pct,%,clang-O1,0.1559,clang-O2,0.1573,0.0014,0.898012,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,cache_miss_rate_pct,%,clang-O1,13.1732,clang-O2,12.7748,-0.3984,-3.024322,lower_is_better,improvement,clang-O2
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,cache_misses,misses,clang-O1,252402.0,clang-O2,265323.0,12921.0,5.119215,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,cache_references,references,clang-O1,1916023.0,clang-O2,2076917.0,160894.0,8.39729,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,cpu_cycles,cycles,clang-O1,349377869.0,clang-O2,356819027.0,7441158.0,2.129831,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,dtlb_load_misses,misses,clang-O1,16454.0,clang-O2,16675.0,221.0,1.343138,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,execution_time_ms,ms,clang-O1,66.25777,clang-O2,67.64219,1.38442,2.089446,lower_is_better,regression,clang-O1
