kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,178029.0,194445.0,16416.0,9.22097,misses,lower_is_better,g++
metric,branch_instructions,g++,clang++,111729332.0,34408360.0,-77320972.0,-69.203826,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,6471589.0,12945.0,-6458644.0,-99.799972,misses,lower_is_better,clang++
metric,branch_miss_rate_pct,g++,clang++,5.7922,0.0376,-5.7546,-99.350851,%,lower_is_better,clang++
metric,cache_miss_rate_pct,g++,clang++,6.2047,8.135,1.9303,31.110287,%,lower_is_better,g++
metric,cache_misses,g++,clang++,169921.0,224005.0,54084.0,31.828909,misses,lower_is_better,g++
metric,cache_references,g++,clang++,2738566.0,2753610.0,15044.0,0.549339,references,lower_is_better,g++
metric,cpu_cycles,g++,clang++,245129418.0,278487487.0,33358069.0,13.60835,cycles,lower_is_better,g++
metric,dtlb_load_misses,g++,clang++,14711.0,14805.0,94.0,0.638978,misses,lower_is_better,g++
metric,execution_time_ms,g++,clang++,46.241,50.3064,4.0654,8.791765,ms,lower_is_better,g++
metric,frontend_stall_cycles,g++,clang++,68519518.0,5344878.0,-63174640.0,-92.199481,cycles,lower_is_better,clang++
metric,frontend_stall_ratio_pct,g++,clang++,27.9524,1.9193,-26.0331,-93.133684,%,lower_is_better,clang++
metric,instruction_count,g++,clang++,465191949.0,532227724.0,67035775.0,14.410347,instructions,lower_is_better,g++
metric,ipc,g++,clang++,1.8977,1.9111,0.0134,0.706118,insn/cycle,higher_is_better,clang++
metric,itlb_load_misses,g++,clang++,292.0,293.0,1.0,0.342466,misses,lower_is_better,g++
metric,l1_cache_misses,g++,clang++,1272906.0,1267270.0,-5636.0,-0.442766,misses,lower_is_better,clang++
metric,l1_icache_misses,g++,clang++,59416.0,87372.0,27956.0,47.051299,misses,lower_is_better,g++
metric,l2_cache_misses,g++,clang++,178029.0,194445.0,16416.0,9.22097,misses,lower_is_better,g++
metric,l2_per_l1_miss_pct,g++,clang++,13.986,15.3436,1.3576,9.70685,%,lower_is_better,g++
metric,ref_cycles,g++,clang++,168270427.0,191571277.0,23300850.0,13.847264,cycles,lower_is_better,g++
