field,value
input_file,/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/indirect_index.cpp
input_type,cpp
backend,cpu
experiments,[]
pipeline,"{'frontend': 'clang', 'compiler_steps': ['source -> clang frontend', 'clang -> llvm ir', 'llvm ir -> native code'], 'execution_backend': 'cpu', 'profiler': 'perf/papi'}"
commands,"['g++ -O3 -O3 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/indirect_index.cpp -o /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'perf stat -x, -e cache-references,cache-misses /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'perf stat -x, -e L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index']"
hardware,"{'platform': 'Linux-6.17.0-19-generic-x86_64-with-glibc2.39', 'python': '3.12.3', 'detected_platform': 'linux', 'cpu_architecture': 'x86_64', 'cpu_vendor': 'amd', 'tools': {'lscpu': True, 'perf': True, 'powermetrics': False, 'nvidia-smi': False, 'rocminfo': True}, 'cpu_model': 'AMD Ryzen 7 9700X 8-Core Processor', 'collector': 'linux-perf', 'supported_metrics': ['amd_l2_ic_dc_miss_in_l2', 'cache_misses', 'cache_references', 'cpu_cycles', 'dtlb_load_misses', 'execution_time_ms', 'frontend_stall_cycles', 'instruction_count', 'ipc', 'itlb_load_misses', 'l1_icache_misses', 'ref_cycles'], 'collector_available': True}"
metrics,"{'execution_time_ms': 17.1296, 'cpu_cycles': 94694285, 'instruction_count': 253844697, 'ipc': 2.680676, 'ref_cycles': 65807153, 'frontend_stall_cycles': 49806953, 'branch_instructions': 36476731, 'branch_mispredictions': 10739, 'cache_references': 80167502, 'cache_misses': 12316269, 'l1_cache_misses': 36455317, 'l1_icache_misses': 71244, 'l2_cache_misses': 12483050, 'dtlb_load_misses': 220285, 'itlb_load_misses': 300, 'amd_l2_ic_dc_miss_in_l2': 12483050, 'apple_power_mw': None, 'apple_cpu_freq_mhz': None, 'memory_bandwidth_mb_s': None, 'tile_size': None, 'opt_config': {}, 'execution_time_summary_ms': {'count': 5, 'min': 16.578, 'max': 17.867, 'mean': 17.1296, 'median': 16.776, 'stdev': 0.622494}}"
artifacts,"{'json': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/indirect_index-gcc.json', 'csv': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/indirect_index-gcc.csv'}"
execution,"{'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 17.1296, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner', 'warmup_runs': 1, 'repeat_runs': 5, 'timing_summary_ms': {'count': 5, 'min': 16.578, 'max': 17.867, 'mean': 17.1296, 'median': 16.776, 'stdev': 0.622494}, 'mode': 'executed', 'compiler': 'g++', 'trial_results': [{'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 17.867, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.776, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 17.744, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.683, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/gcc/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.578, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}]}"
