backend,baseline_input,candidate_input,kind,metric,unit,baseline_name,baseline_value,candidate_name,candidate_value,diff,diff_percent,direction,change,which_is_better
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,amd_l2_ic_dc_miss_in_l2,misses,clang-O1,266766.0,clang-O2,235840.0,-30926.0,-11.592932,lower_is_better,improvement,clang-O2
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,branch_instructions,branches,clang-O1,403116721.0,clang-O2,427145781.0,24029060.0,5.960819,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,branch_mispredictions,misses,clang-O1,628398.0,clang-O2,1647290.0,1018892.0,162.141191,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,branch_miss_rate_pct,%,clang-O1,0.1559,clang-O2,0.3857,0.2298,147.402181,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,cache_miss_rate_pct,%,clang-O1,13.1732,clang-O2,15.0408,1.8676,14.177269,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,cache_misses,misses,clang-O1,252402.0,clang-O2,315481.0,63079.0,24.991482,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,cache_references,references,clang-O1,1916023.0,clang-O2,2097496.0,181473.0,9.471337,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,cpu_cycles,cycles,clang-O1,349377869.0,clang-O2,366498010.0,17120141.0,4.900179,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,dtlb_load_misses,misses,clang-O1,16454.0,clang-O2,16744.0,290.0,1.762489,lower_is_better,regression,clang-O1
cpu,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,/home/aitr/reaserch/technical/compilers/llvm/testcases/machine_block_placement_csv_parse.c,metric,execution_time_ms,ms,clang-O1,66.25777,clang-O2,72.27677,6.019,9.084218,lower_is_better,regression,clang-O1
