field,value
input_file,/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/indirect_index.cpp
input_type,cpp
backend,cpu
experiments,[]
pipeline,"{'frontend': 'clang', 'compiler_steps': ['source -> clang frontend', 'clang -> llvm ir', 'llvm ir -> native code'], 'execution_backend': 'cpu', 'profiler': 'perf/papi'}"
commands,"['clang++ -O3 -O3 -emit-llvm -S /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/indirect_index.cpp -o /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index.ll', 'clang++ -O3 -O3 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/indirect_index.cpp -o /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'perf stat -x, -e cache-references,cache-misses /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'perf stat -x, -e L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index']"
hardware,"{'platform': 'Linux-6.17.0-19-generic-x86_64-with-glibc2.39', 'python': '3.12.3', 'detected_platform': 'linux', 'cpu_architecture': 'x86_64', 'cpu_vendor': 'amd', 'tools': {'lscpu': True, 'perf': True, 'powermetrics': False, 'nvidia-smi': False, 'rocminfo': True}, 'cpu_model': 'AMD Ryzen 7 9700X 8-Core Processor', 'collector': 'linux-perf', 'supported_metrics': ['amd_l2_ic_dc_miss_in_l2', 'cache_misses', 'cache_references', 'cpu_cycles', 'dtlb_load_misses', 'execution_time_ms', 'frontend_stall_cycles', 'instruction_count', 'ipc', 'itlb_load_misses', 'l1_icache_misses', 'ref_cycles'], 'collector_available': True}"
metrics,"{'execution_time_ms': 16.716, 'cpu_cycles': 89678538, 'instruction_count': 176334290, 'ipc': 1.966293, 'ref_cycles': 61769639, 'frontend_stall_cycles': 3032009, 'branch_instructions': 11424482, 'branch_mispredictions': 10339, 'cache_references': 76375998, 'cache_misses': 14089182, 'l1_cache_misses': 36264827, 'l1_icache_misses': 74643, 'l2_cache_misses': 14025803, 'dtlb_load_misses': 388772, 'itlb_load_misses': 291, 'amd_l2_ic_dc_miss_in_l2': 14025803, 'apple_power_mw': None, 'apple_cpu_freq_mhz': None, 'memory_bandwidth_mb_s': None, 'tile_size': None, 'opt_config': {}, 'execution_time_summary_ms': {'count': 5, 'min': 15.839, 'max': 18.757, 'mean': 16.716, 'median': 16.358, 'stdev': 1.202112}}"
artifacts,"{'json': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/indirect_index-clang.json', 'csv': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/indirect_index-clang.csv'}"
execution,"{'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.716, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner', 'warmup_runs': 1, 'repeat_runs': 5, 'timing_summary_ms': {'count': 5, 'min': 15.839, 'max': 18.757, 'mean': 16.716, 'median': 16.358, 'stdev': 1.202112}, 'mode': 'executed', 'compiler': 'clang++', 'trial_results': [{'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 18.757, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 15.87, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 15.839, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.358, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index', 'cpu_affinity': '', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 16.756, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}], 'ir': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/indirect_index/clang/indirect_index.ll'}"
