field,value
input_file,/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/branch_threshold.cpp
input_type,cpp
backend,cpu
experiments,[]
pipeline,"{'frontend': 'clang', 'compiler_steps': ['source -> clang frontend', 'clang -> llvm ir', 'llvm ir -> native code'], 'execution_backend': 'cpu', 'profiler': 'perf/papi'}"
commands,"['g++ -O3 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/branch_threshold.cpp -o /tmp/csperf-gcc-vs-clang-cases/branch_threshold', '/tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses /tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'perf stat -x, -e cache-references,cache-misses /tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'perf stat -x, -e L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /tmp/csperf-gcc-vs-clang-cases/branch_threshold']"
hardware,"{'platform': 'Linux-6.17.0-19-generic-x86_64-with-glibc2.39', 'python': '3.12.3', 'tools': {'lscpu': True, 'nvidia-smi': False, 'rocminfo': True}, 'cpu_model': 'AMD Ryzen 7 9700X 8-Core Processor'}"
metrics,"{'execution_time_ms': 15.212, 'l1_cache_misses': 2331529, 'l2_cache_misses': 113359, 'branch_mispredictions': 361957, 'instruction_count': 370287736, 'memory_bandwidth_mb_s': None, 'tile_size': None, 'opt_config': {}, 'execution_time_summary_ms': {'count': 5, 'min': 14.974, 'max': 15.575, 'mean': 15.212, 'median': 15.104, 'stdev': 0.26872}, 'cpu_cycles': 86449406, 'ref_cycles': 61062017, 'frontend_stall_cycles': 6901573, 'branch_instructions': 111492657, 'cache_references': 4796894, 'cache_misses': 123203, 'l1_icache_misses': 37508, 'dtlb_load_misses': 6194, 'itlb_load_misses': 234, 'amd_l2_ic_dc_miss_in_l2': 113359}"
artifacts,"{'json': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/results/gcc-branch_threshold.json', 'csv': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/results/gcc-branch_threshold.csv'}"
execution,"{'binary': '/tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'cpu_affinity': '0', 'stdout': '676073664', 'stderr': '', 'returncode': 0, 'wall_time_ms': 15.212, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner', 'warmup_runs': 1, 'repeat_runs': 5, 'timing_summary_ms': {'count': 5, 'min': 14.974, 'max': 15.575, 'mean': 15.212, 'median': 15.104, 'stdev': 0.26872}, 'mode': 'executed', 'trial_results': [{'binary': '/tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'cpu_affinity': '0', 'stdout': '676073664', 'stderr': '', 'returncode': 0, 'wall_time_ms': 15.575, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'cpu_affinity': '0', 'stdout': '676073664', 'stderr': '', 'returncode': 0, 'wall_time_ms': 15.414, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'cpu_affinity': '0', 'stdout': '676073664', 'stderr': '', 'returncode': 0, 'wall_time_ms': 15.104, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'cpu_affinity': '0', 'stdout': '676073664', 'stderr': '', 'returncode': 0, 'wall_time_ms': 14.974, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/branch_threshold', 'cpu_affinity': '0', 'stdout': '676073664', 'stderr': '', 'returncode': 0, 'wall_time_ms': 14.993, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}]}"
status,executed
timestamp_utc,2026-03-22T14:53:55.160370+00:00
