field,value
input_file,/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/stencil_2d.cpp
input_type,cpp
backend,cpu
experiments,[]
pipeline,"{'frontend': 'clang', 'compiler_steps': ['source -> clang frontend', 'clang -> llvm ir', 'llvm ir -> native code'], 'execution_backend': 'cpu', 'profiler': 'perf/papi'}"
commands,"['clang++ -O3 -O3 -emit-llvm -S /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/stencil_2d.cpp -o /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d.ll', 'clang++ -O3 -O3 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/stencil_2d.cpp -o /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'perf stat -x, -e cache-references,cache-misses /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'perf stat -x, -e L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d']"
hardware,"{'platform': 'Linux-6.17.0-19-generic-x86_64-with-glibc2.39', 'python': '3.12.3', 'detected_platform': 'linux', 'cpu_architecture': 'x86_64', 'cpu_vendor': 'amd', 'tools': {'lscpu': True, 'perf': True, 'powermetrics': False, 'nvidia-smi': False, 'rocminfo': True}, 'cpu_model': 'AMD Ryzen 7 9700X 8-Core Processor', 'collector': 'linux-perf', 'supported_metrics': ['amd_l2_ic_dc_miss_in_l2', 'cache_misses', 'cache_references', 'cpu_cycles', 'dtlb_load_misses', 'execution_time_ms', 'frontend_stall_cycles', 'instruction_count', 'ipc', 'itlb_load_misses', 'l1_icache_misses', 'ref_cycles'], 'collector_available': True}"
metrics,"{'execution_time_ms': 11.1506, 'cpu_cycles': 60169013, 'instruction_count': 199194138, 'ipc': 3.310577, 'ref_cycles': 41491884, 'frontend_stall_cycles': 14840071, 'branch_instructions': 15235560, 'branch_mispredictions': 31598, 'cache_references': 5308177, 'cache_misses': 190710, 'l1_cache_misses': 1897899, 'l1_icache_misses': 46051, 'l2_cache_misses': 160228, 'dtlb_load_misses': 12263, 'itlb_load_misses': 294, 'amd_l2_ic_dc_miss_in_l2': 160228, 'apple_power_mw': None, 'apple_cpu_freq_mhz': None, 'memory_bandwidth_mb_s': None, 'tile_size': None, 'opt_config': {}, 'execution_time_summary_ms': {'count': 5, 'min': 10.777, 'max': 11.413, 'mean': 11.1506, 'median': 11.159, 'stdev': 0.237032}}"
artifacts,"{'json': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/stencil_2d-clang.json', 'csv': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/stencil_2d-clang.csv'}"
execution,"{'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'cpu_affinity': '', 'stdout': '1.25204e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 11.1506, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner', 'warmup_runs': 1, 'repeat_runs': 5, 'timing_summary_ms': {'count': 5, 'min': 10.777, 'max': 11.413, 'mean': 11.1506, 'median': 11.159, 'stdev': 0.237032}, 'mode': 'executed', 'compiler': 'clang++', 'trial_results': [{'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'cpu_affinity': '', 'stdout': '1.25204e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 11.413, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'cpu_affinity': '', 'stdout': '1.25204e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 11.276, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'cpu_affinity': '', 'stdout': '1.25204e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 11.159, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'cpu_affinity': '', 'stdout': '1.25204e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 10.777, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d', 'cpu_affinity': '', 'stdout': '1.25204e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 11.128, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}], 'ir': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/batch_results/build/stencil_2d/clang/stencil_2d.ll'}"
status,executed
timestamp_utc,2026-03-23T03:31:06.257702+00:00
