field,value
input_file,/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/column_sum.cpp
input_type,cpp
backend,cpu
experiments,[]
pipeline,"{'frontend': 'clang', 'compiler_steps': ['source -> clang frontend', 'clang -> llvm ir', 'llvm ir -> native code'], 'execution_backend': 'cpu', 'profiler': 'perf/papi'}"
commands,"['clang++ -O3 -emit-llvm -S /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/column_sum.cpp -o /tmp/csperf-gcc-vs-clang-cases/column_sum.ll', 'clang++ -O3 /home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/column_sum.cpp -o /tmp/csperf-gcc-vs-clang-cases/column_sum', '/tmp/csperf-gcc-vs-clang-cases/column_sum', 'perf stat -x, -e cpu-cycles,ref-cycles,stalled-cycles-frontend,instructions,branch-instructions,branch-misses /tmp/csperf-gcc-vs-clang-cases/column_sum', 'perf stat -x, -e cache-references,cache-misses /tmp/csperf-gcc-vs-clang-cases/column_sum', 'perf stat -x, -e L1-dcache-load-misses,L1-icache-load-misses,dTLB-load-misses,iTLB-load-misses,l2_cache_req_stat.ic_dc_miss_in_l2 /tmp/csperf-gcc-vs-clang-cases/column_sum']"
hardware,"{'platform': 'Linux-6.17.0-19-generic-x86_64-with-glibc2.39', 'python': '3.12.3', 'tools': {'lscpu': True, 'nvidia-smi': False, 'rocminfo': True}, 'cpu_model': 'AMD Ryzen 7 9700X 8-Core Processor'}"
metrics,"{'execution_time_ms': 139.5486, 'l1_cache_misses': 48682933, 'l2_cache_misses': 11200707, 'branch_mispredictions': 42986, 'instruction_count': 161573111, 'memory_bandwidth_mb_s': None, 'tile_size': None, 'opt_config': {}, 'execution_time_summary_ms': {'count': 5, 'min': 138.874, 'max': 140.656, 'mean': 139.5486, 'median': 139.367, 'stdev': 0.668472}, 'cpu_cycles': 765934964, 'ref_cycles': 533290821, 'frontend_stall_cycles': 12220861, 'branch_instructions': 14491256, 'cache_references': 91602688, 'cache_misses': 12957642, 'l1_icache_misses': 122538, 'dtlb_load_misses': 1619541, 'itlb_load_misses': 303, 'amd_l2_ic_dc_miss_in_l2': 11200707}"
artifacts,"{'json': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/results/clang-column_sum.json', 'csv': '/home/aitr/compilersutra/FixIt_Compilersutra/docs/articles/gcc_vs_clang_cases/results/clang-column_sum.csv'}"
execution,"{'binary': '/tmp/csperf-gcc-vs-clang-cases/column_sum', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 139.5486, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner', 'warmup_runs': 1, 'repeat_runs': 5, 'timing_summary_ms': {'count': 5, 'min': 138.874, 'max': 140.656, 'mean': 139.5486, 'median': 139.367, 'stdev': 0.668472}, 'mode': 'executed', 'trial_results': [{'binary': '/tmp/csperf-gcc-vs-clang-cases/column_sum', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 139.567, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/column_sum', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 139.367, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/column_sum', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 138.874, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/column_sum', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 139.279, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}, {'binary': '/tmp/csperf-gcc-vs-clang-cases/column_sum', 'cpu_affinity': '0', 'stdout': '3.35544e+07', 'stderr': '', 'returncode': 0, 'wall_time_ms': 140.656, 'runner': '/home/aitr/projects/CompilerSutraPerfTool/build-native/bin/csperf_native_runner'}], 'ir': '/tmp/csperf-gcc-vs-clang-cases/column_sum.ll'}"
status,executed
timestamp_utc,2026-03-22T14:53:48.700936+00:00
