kind,metric,compiler1_name,compiler2_name,compiler1,compiler2,diff,diff_percent,unit,direction,which_is_better
metric,amd_l2_ic_dc_miss_in_l2,g++,clang++,39455.0,35326.0,-4129.0,-10.465087,misses,lower_is_better,clang++
metric,branch_instructions,g++,clang++,135438586.0,68431153.0,-67007433.0,-49.474404,branches,lower_is_better,clang++
metric,branch_mispredictions,g++,clang++,8284.0,9010.0,726.0,8.763882,misses,lower_is_better,g++
metric,branch_miss_rate_pct,g++,clang++,0.0061,0.0132,0.0071,116.393443,%,lower_is_better,g++
metric,cache_miss_rate_pct,g++,clang++,13.4253,12.1355,-1.2898,-9.607234,%,lower_is_better,clang++
metric,cache_misses,g++,clang++,35087.0,32582.0,-2505.0,-7.139396,misses,lower_is_better,clang++
metric,cache_references,g++,clang++,261349.0,268486.0,7137.0,2.730831,references,lower_is_better,g++
metric,cpu_cycles,g++,clang++,1885554286.0,1950899243.0,65344957.0,3.465557,cycles,lower_is_better,g++
metric,dtlb_load_misses,g++,clang++,951.0,803.0,-148.0,-15.562566,misses,lower_is_better,clang++
metric,execution_time_ms,g++,clang++,340.4158,353.0678,12.652,3.716631,ms,lower_is_better,g++
metric,frontend_stall_cycles,g++,clang++,2353437.0,2323262.0,-30175.0,-1.282167,cycles,lower_is_better,clang++
metric,frontend_stall_ratio_pct,g++,clang++,0.1248,0.1191,-0.0057,-4.567308,%,lower_is_better,clang++
metric,instruction_count,g++,clang++,2153088600.0,2020367925.0,-132720675.0,-6.164199,instructions,lower_is_better,clang++
metric,ipc,g++,clang++,1.1419,1.0356,-0.1063,-9.309046,insn/cycle,higher_is_better,g++
metric,itlb_load_misses,g++,clang++,241.0,220.0,-21.0,-8.713693,misses,lower_is_better,clang++
metric,l1_cache_misses,g++,clang++,57776.0,63571.0,5795.0,10.030116,misses,lower_is_better,g++
metric,l1_icache_misses,g++,clang++,39103.0,40213.0,1110.0,2.838657,misses,lower_is_better,g++
metric,l2_cache_misses,g++,clang++,39455.0,35326.0,-4129.0,-10.465087,misses,lower_is_better,clang++
metric,l2_per_l1_miss_pct,g++,clang++,68.2896,55.5694,-12.7202,-18.626848,%,lower_is_better,clang++
metric,ref_cycles,g++,clang++,1295195734.0,1337062069.0,41866335.0,3.232433,cycles,lower_is_better,g++
derived_metric,branch_miss_rate,g++,clang++,6.1e-05,0.000132,7.1e-05,116.393443,,lower_is_better,g++
derived_metric,branch_mpki,g++,clang++,0.003847,0.00446,0.000613,15.934494,,lower_is_better,g++
derived_metric,cache_miss_rate,g++,clang++,0.134253,0.121355,-0.012898,-9.607234,,lower_is_better,clang++
derived_metric,cpi,g++,clang++,0.875744,0.965616,0.089872,10.26236,,lower_is_better,g++
derived_metric,execution_efficiency,g++,clang++,6324878.574966,5722322.80882,-602555.766146,-9.526756,,higher_is_better,g++
derived_metric,frontend_stall_ratio,g++,clang++,0.001248,0.001191,-5.7e-05,-4.567308,,lower_is_better,clang++
derived_metric,ipc,g++,clang++,1.141886,1.035609,-0.106277,-9.307146,,higher_is_better,g++
derived_metric,l1_mpki,g++,clang++,0.026834,0.031465,0.004631,17.257956,,lower_is_better,g++
derived_metric,l2_mpki,g++,clang++,0.018325,0.017485,-0.00084,-4.583902,,lower_is_better,clang++
derived_metric,memory_intensity,g++,clang++,0.000121,0.000133,1.2e-05,9.917355,,lower_is_better,g++
